Carry (yds),Total (yds),Carry Side,Curve
162.1,173.3,"10'10""L","33'1""L"
167.3,176.8,"21'5""R","7'1""R"
174.5,185.5,"21'5""L","28'8""L"
167.9,177.1,7'R,"6'11""L"
169.6,180.3,"14'1""R","2'9""R"
168.6,179.3,"6'8""R","10'8""L"
160,169.2,"13'9""R","4'11""L"
168.4,181.1,"23'11""L","23'2""L"
169,178.3,"26'4""R","2'3""L"
172.4,183.1,"17'2""L","21'7""L"
171,181.6,"1'11""R","6'11""L"
172.4,184.3,"26'8""L","19'9""L"
167.3,177.2,8'R,"4'9""L"
163.7,176.6,"5'2""R","1'11""R"
161.7,170.3,"32'3""R","16'7""R"
160.2,168.9,"37'6""R","12'1""R"
175.3,186.3,43'L,"31'3""L"
151.2,167.5,35'R,"22'8""R"
172,183.7,49'L,"37'7""L"
167.2,177.7,"10'1""R","4'4""R"
158.3,167.9,"7'9""R","6'9""R"
166.3,176.5,"3""L","4'5""R"
169.9,180.6,"11'1""L","7'5""L"
171,181.9,"8'8""L","5'8""L"
154.1,163.3,"20'1""R","12'4""R"
154.6,180.3,"3'9""L","14'4""R"
162.9,171.9,"55'5""R","29'7""R"
161.6,175.1,"4'9""L","4'9""L"
164.5,174.7,"19'10""R","14'4""R"
174.7,186.9,"44'6""L","48'8""L"
176.9,187.8,6'R,"44'11""L"
178.3,191.2,39'L,"68'8""L"
158.6,171.2,"12'1""L","17'1""L"
151,158.8,"62'5""R","30'8""R"
164.8,173.8,"23'11""R","12'10""R"
162.5,171.1,"6'9""R","6'9""R"
162.1,172,"5'8""R","3'5""L"
157.8,170,"39'7""R","20'6""R"
153.6,162,"44'2""R","19'10""R"
