Carry (yds),Total (yds),Carry Side
139.8,144.3,29.0
146.1,151.2,6.0
143.2,148.5,10.0
137.7,144.4,6.0
143.4,149.1,9.0
147.9,154.3,44.0
141.5,145.8,11.0
134.8,140.4,5.0
147.9,152.4,3.0
144.7,148.8,11.0
143.6,147.9,4.0
139.8,145.1,12.0
139.8,145.8,"25'5""R"
138.4,145.6,"3'5""L"
140.6,147.4,"10'11""L"
137.9,144.9,"11'11""L"
135.1,142.3,7'R
135.6,141.9,"2'6""R"
136.9,142.2,"4'9""R"
131.6,137.8,"20'9""R"
140.6,146.3,7'R
145.5,152.3,"27'8""L"
142.1,148.7,"11'2""L"
139.7,146.8,"13'9""L"
140,146.6,6'R
141.3,147.6,10'R
141,147.7,"28'10""L"
140,145.4,"7'3""R"
142.1,149.4,"28'5""L"
136.1,141.8,"20'3""R"
141.7,146.8,"9'4""R"
134.7,139.4,"40'10""R"
137.3,142.9,17'R
143.3,148.8,"10'8""R"
140.4,146.9,"4""R"
135.5,139.9,"41'6""R"
144.1,149.7,"12'4""R"
138.8,145.6,"4'10""R"
142.9,148.9,"9'10""R"
138.2,143.6,"24'7""R"
143.2,148.9,"19'1""R"
143,148.1,3'L
137.8,142.5,17'R
141,146.3,9'R
139.6,146.7,"19'10""L"
135.4,141.4,2'L
140.2,146.4,"5'2""R"
141.3,148,"18'3""L"
139,145.9,"4'4""R"
142.6,150.4,"5'10""L"
145.4,152.1,16'L
