Carry (yds),Total (yds),Carry Side,Curve
258.1,279.8,"13'8""L","16'4""L"
252.1,267.8,"116'9""R","59'8""R"
244.3,264.2,"11'10""R","15'3""R"
264.6,285.7,"4'7""R","5'7""L"
259.6,276.7,"61'5""R","31'1""R"
256.8,276.3,9'L,"37'8""L"
266.8,291.3,"136'5""L","89'10""L"
260.7,276.6,"34'10""R","23'8""R"
274.5,290.5,"55'2""R",6'R
275.7,294.7,"10'11""R","33'2""L"
262.9,283.8,"4'6""L",30'L
269.4,288.9,"34'8""L","33'1""L"
235.4,258.7,"1'4""L","21'3""L"
257.5,275.7,83'R,"35'1""R"
250.4,269,"22'9""R","31'7""R"
251.4,279.2,"29'5""L","47'6""L"
251.8,274.8,"18'8""L","10'4""L"
279.8,297.7,"5'11""L","62'4""L"
262.2,278.5,"80'9""R","55'1""R"
257.6,277.1,"1'11""R",15'R
263,282.7,"32'10""R","10'8""L"
236.3,268.8,"29'3""R","55'1""R"
269.9,294.5,"122'7""L","95'10""L"
276.8,292.8,"53'7""R","21'4""L"
264.6,285.3,"18'10""L","22'1""L"
267,285.1,"29'10""R","7'4""L"
239.9,268.2,"23'11""L","43'6""L"
249.7,268.1,"39'1""R","20'1""R"
255.1,276.6,7'R,"14'5""L"
251,274.3,"50'11""L","74'4""L"
