,,,,,,,,,,,,,
,Results:,,,,,,,,,,,,
,,,,,,,,,,,,,*(-) is Left; (+) is Right
,Doug,Shot Distance,Lie,ESG - Gut,Club - Gut,Landing Position - Gut,Landing Distance from Pin - Gut (yds),ESG - Noonan Recommendations,Club - Noonan,Landing Position - Noonan,Landing Distance from Pin - Noonan (yds),Club Change (Y/N)?,Aim Line Difference (Yds)
,1,485,Tee,,,,,,,,,,
,2,200,Fairway,,,,,,,,,,
,3,407,Tee,-0.81,DR,Rough - Recovery,100,0.19,DR,Fairway,92,No,-10
,4,110,Fairway,-0.21,SW,Green,14,0.24,SW,Green,4,No,5
,5,166,Fairway,-0.61,7i,Rough,23,0.2,7i,Green,5,No,-15
,6,187,Tee,,,,,,,,,,
,7,154,Fairway,0.11,8i,Green,6,0.11,8i,Green,8,No,-10
,8,360,Tee,-0.46,DR,Rough - Recovery,129,0.14,DR,Fairway,120,No,-10
,9,120,Fairway,,,,,,,,,,
,10,403,Tee,-0.29,DR,Fairway Bunker,170,0.01,DR,Rough,153,No,-10
,11,155,Fairway,0,9i,Green,10,-0.08,9i,Green,13,No,5
,,,,,,,,,,,,,
,Totals,,,,,,,,,,,,
,ESG - Gut,-2.27,,,,,,,,,,,
,ESG - Noonan,0.81,,,,,,,,,,,
,Net Gain / Lost Using Noonan,3.08,,,,,,,,,,,
