,,,,,,,,,,,,,
,Results:,,,,,,,,,,,,
,,,,,,,,,,,,,*(-) is Left; (+) is Right
,Doug,Shot Distance,Lie,ESG - Gut,Club - Gut,Landing Position - Gut,Landing Distance from Pin - Gut (yds),ESG - Noonan Recommendations,Club - Noonan,Landing Position - Noonan,Landing Distance from Pin - Noonan (yds),Club Change (Y/N)?,Aim Line Difference (Yds)
,1,485,Tee,-0.69,DR,Rough - Recovery,238,-0.04,DR,Fairway,220,No,N/A
,2,200,Fairway,-0.4,6i,Rough,19,0.05,6i,Green,16,No,-5
,3,407,Tee,-0.65,DR,Rough,237,0.08,DR,Rough,54,No,N/A
,4,110,Fairway,,,,,,,,,,
,5,166,Fairway,-0.08,8i,Green,13,0.11,7i,Green,7,Yes,-10
,6,187,Tee,-0.48,7i,Bunker,25,0.18,7i,Green,6,No,-5
,7,154,Fairway,-0.08,9i,Green,12,-0.23,8i,Green,19,Yes,-10
,8,360,Tee,0.24,DR,Fairway,89,0.24,DR,Fairway,74,No,5
,9,120,Fairway,0.24,Gap,Green,4,-0.13,Gap,Green,9,No,5
,10,403,Tee,-0.16,DR,Rough,138,0.08,DR,Fairway,147,No,-5
,11,155,Fairway,0.11,9i,Green,7,-0.23,9i,Green,21,No,5
,,,,,,,,,,,,,
,Totals,,,,,,,,,,,,
,ESG - Gut,-0.86,,,,,,,,,,,
,ESG - Noonan,0.1,,,,,,,,,,,
,Net Gain / Lost Using Noonan,0.96,,,,,,,,,,,
